phase,type,id,title_or_collection,change
A,product,gid://shopify/Product/8053034123574,HEALTH CONNECTION WHOLEFOODS - Brown Rice Flour Stoneground - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053034877238,HONEY SO FINE GREENSTONE - 250g Honey Powder,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8155088421174,SOARING FREE SUPERFOODS - Cacao Paste Organic Raw 200g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8537687753014,TRUEFOOD - Chickpea Flour - 400g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8545361002806,GOOD LIFE ORGANIC - Organic Arrowroot 200g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8853498921270,ZUZANNA'S - Sweet Chilli Sauce - 300g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8853549941046,ZUZANNA'S - Easy Tomato Sauce - 300g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8853556920630,ZUZANNA'S - Salad Dressing - 300g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8864085213494,GLUTAGON - Fettuccine Gourmet Rice Pasta - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8864162775350,GLUTAGON - Cake Flour - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8864496025910,GLUTAGON - Premix Classic Flapjacks - 375g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8864499826998,GLUTAGON - Premix Classic Waffles - 375g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8864506183990,GLUTAGON - Premix Chocolate Cake - 375g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8864533381430,GLUTAGON - Premix Chocolate Brownie - 375g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8864555860278,EUREKA MILLS - Whole Meal Wheat Flour - 12.5kg,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8864562020662,GLUTAGON - Premix Soft White Bread - 400g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8864595706166,CAPE HERB & SPICE - Tall Pink Himalayan Salt Grinder,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8865749532982,CAPE HERB & SPICE - Tall Atlantic Sea Salt Grinder,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8865758675254,GLUTAGON - Plain All Purpose Flour - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8865767588150,GLUTAGON - Fusilli Rice Pasta - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8865768833334,GLUTAGON - Rice Pasta Penne Rigato - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8865771422006,GLUTAGON - Self Raising Flour - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8865795572022,EUREKA MILLS - White Bread Flour - 12.5kg,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8865813332278,EUREKA MILLS - White Bread Flour - 2.5kg,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8865832010038,EUREKA MILLS - Brown Bread Flour - 2.5kg,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8865839481142,EUREKA MILLS - Cake Flour - 2.5kg,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8865856651574,EUREKA MILLS - Pure Rye Flour - 2.5kg,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8865889485110,EUREKA MILLS - Whole Meal Wheat Flour - 2.5kg,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8886210625846,NATURE'S CHOICE - Gluten Free Cake Flour - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8886222913846,NATURE'S CHOICE - Gluten Free Self Raising Flour - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8886246703414,NATURE'S CHOICE - Psyllium Husk Powder - 150g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8886246900022,NATURE'S CHOICE - Psyllium Husk Powder - 400g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8886297919798,NATURE'S CHOICE - Whole Dates - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8886432629046,NATURE'S CHOICE - Tapioca Flour - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8886442098998,NATURE'S CHOICE - Xanthan Gum - 100g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8901107777846,EARTH PRODUCTS - Apple Pectin - 50g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8901370151222,TRUEFOOD - Buckwheat Flour Gluten Free - 400g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8901539823926,TRUEFOOD - Gluten free Crumbs Fine - 400g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8901574197558,TRUEFOOD - Gluten Free Crumbs Coarse - 400g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8903326171446,KHOISAN GOURMET - Organic Cinnamon Powder - 30g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8903378436406,TRUEFOOD - Raw Cacao Powder - 400g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8903456817462,TRUEFOOD - Organic Coconut Flour - 400g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/9048686297398,WHOLESOME EARTH - Oat Flour Gluten Free - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/9127062143286,THE COCNUT COMPANY - Teriyaki Seasoning - 150ml,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/9129117090102,KALLO - Organic Garlic & Herb Stock 6 Cubes 66g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/9131152343350,GLUTAGON - Fettuccine Gourmet Rice Pasta Egg Free - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/9387537301814,NOW - Guar Gum - 227g Powder,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/9545041281334,SOARING FREE SUPERFOODS - Organic Cacao Powder - 1kg,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/10012035711286,ORGANIC CHOICE - Raw Bee Pollen - 85g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/10094737326390,CREDÉ NATURAL OILS - Organic Coconut Sugar - 300g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
B,collection,gid://shopify/Collection/431950299446,Food - Baking,rule condition Food >Baking -> Food>Baking; count 66->66
B,collection,gid://shopify/Collection/431973105974,Food Pantry,rule condition Food >Baking -> Food>Baking (19 rules preserved); count 933->933
C,product,gid://shopify/Product/8053028028726,HEALTH CONNECTION WHOLEFOODS - Organic Carob Powder - 200g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053028585782,HEALTH CONNECTION WHOLEFOODS - Digestive Bran - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053028749622,HEALTH CONNECTION WHOLEFOODS - Erythritol & Stevia Blend - 400g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053029273910,HEALTH CONNECTION WHOLEFOODS - Gluten-Free Brown Flour Mix - 470g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053029437750,HEALTH CONNECTION WHOLEFOODS - Gluten-Free General Purpose Flour Mix - 1Kg,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053029568822,HEALTH CONNECTION WHOLEFOODS - Gluten-Free Flour Mix - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053031436598,HEALTH CONNECTION WHOLEFOODS - Organic Cacao Powder - 200g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053031567670,HEALTH CONNECTION WHOLEFOODS - Potato Flour - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053032059190,HEALTH CONNECTION WHOLEFOODS - White Rice Flour Stoneground - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053032288566,HEALTH CONNECTION WHOLEFOODS - Stevia Liquid - 150ml,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053032354102,HEALTH CONNECTION WHOLEFOODS - Stevia Powder - 25g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053032386870,HEALTH CONNECTION WHOLEFOODS - Stevia Tablets - 300 Tablets,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053032485174,HEALTH CONNECTION WHOLEFOODS - Stevia Tablets - 100 Tablets,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053032780086,HEALTH CONNECTION WHOLEFOODS - Tapioca Flour - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053033042230,HEALTH CONNECTION WHOLEFOODS - Vanilla Extract - 25ml,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053033435446,HEALTH CONNECTION WHOLEFOODS - Xanthan Gum - 50g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053034123574,HEALTH CONNECTION WHOLEFOODS - Brown Rice Flour Stoneground - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8053034877238,HONEY SO FINE GREENSTONE - 250g Honey Powder,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8155088421174,SOARING FREE SUPERFOODS - Cacao Paste Organic Raw 200g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8537687753014,TRUEFOOD - Chickpea Flour - 400g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8545361002806,GOOD LIFE ORGANIC - Organic Arrowroot 200g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8853498921270,ZUZANNA'S - Sweet Chilli Sauce - 300g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8853549941046,ZUZANNA'S - Easy Tomato Sauce - 300g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8853556920630,ZUZANNA'S - Salad Dressing - 300g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8864085213494,GLUTAGON - Fettuccine Gourmet Rice Pasta - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8864162775350,GLUTAGON - Cake Flour - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8864496025910,GLUTAGON - Premix Classic Flapjacks - 375g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8864499826998,GLUTAGON - Premix Classic Waffles - 375g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8864506183990,GLUTAGON - Premix Chocolate Cake - 375g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8864533381430,GLUTAGON - Premix Chocolate Brownie - 375g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8864555860278,EUREKA MILLS - Whole Meal Wheat Flour - 12.5kg,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8864562020662,GLUTAGON - Premix Soft White Bread - 400g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8864595706166,CAPE HERB & SPICE - Tall Pink Himalayan Salt Grinder,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8865749532982,CAPE HERB & SPICE - Tall Atlantic Sea Salt Grinder,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8865758675254,GLUTAGON - Plain All Purpose Flour - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8865767588150,GLUTAGON - Fusilli Rice Pasta - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8865768833334,GLUTAGON - Rice Pasta Penne Rigato - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8865771422006,GLUTAGON - Self Raising Flour - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8865795572022,EUREKA MILLS - White Bread Flour - 12.5kg,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8865813332278,EUREKA MILLS - White Bread Flour - 2.5kg,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8865832010038,EUREKA MILLS - Brown Bread Flour - 2.5kg,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8865839481142,EUREKA MILLS - Cake Flour - 2.5kg,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8865856651574,EUREKA MILLS - Pure Rye Flour - 2.5kg,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8865889485110,EUREKA MILLS - Whole Meal Wheat Flour - 2.5kg,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8886210625846,NATURE'S CHOICE - Gluten Free Cake Flour - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8886222913846,NATURE'S CHOICE - Gluten Free Self Raising Flour - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8886246703414,NATURE'S CHOICE - Psyllium Husk Powder - 150g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8886246900022,NATURE'S CHOICE - Psyllium Husk Powder - 400g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8886297919798,NATURE'S CHOICE - Whole Dates - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8886432629046,NATURE'S CHOICE - Tapioca Flour - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8886442098998,NATURE'S CHOICE - Xanthan Gum - 100g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8901107777846,EARTH PRODUCTS - Apple Pectin - 50g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8901370151222,TRUEFOOD - Buckwheat Flour Gluten Free - 400g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8901539823926,TRUEFOOD - Gluten free Crumbs Fine - 400g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8901574197558,TRUEFOOD - Gluten Free Crumbs Coarse - 400g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8903326171446,KHOISAN GOURMET - Organic Cinnamon Powder - 30g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8903378436406,TRUEFOOD - Raw Cacao Powder - 400g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/8903456817462,TRUEFOOD - Organic Coconut Flour - 400g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/9048686297398,WHOLESOME EARTH - Oat Flour Gluten Free - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/9127062143286,THE COCNUT COMPANY - Teriyaki Seasoning - 150ml,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/9129117090102,KALLO - Organic Garlic & Herb Stock 6 Cubes 66g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/9131152343350,GLUTAGON - Fettuccine Gourmet Rice Pasta Egg Free - 500g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/9387537301814,NOW - Guar Gum - 227g Powder,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/9545041281334,SOARING FREE SUPERFOODS - Organic Cacao Powder - 1kg,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/10012035711286,ORGANIC CHOICE - Raw Bee Pollen - 85g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
C,product,gid://shopify/Product/10094737326390,CREDÉ NATURAL OILS - Organic Coconut Sugar - 300g,"atomic swap: tagsRemove Food >Baking + tagsAdd Food>Baking (serial, same request)"
A,probe,gid://shopify/Product/8463194718518,"EJ'S - Honeybush Green Tea Leaves - 120g","tagsAdd Food>Beverages NO-OP (Shopify dedupes whitespace-variant tags) - Phase A impossible for all 281; collection matching normalizes so no dropout risk"
B,collection,gid://shopify/Collection/431950889270,Food - Beverages,rule condition Food> Beverages -> Food>Beverages; count 281->281
C,product,gid://shopify/Product/8049748181302,ALIVE LIFESTYLES - Alive Anti-Spike Protein Herbal Blend 100g,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
C,product,gid://shopify/Product/8053028028726,HEALTH CONNECTION WHOLEFOODS - Organic Carob Powder - 200g,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
C,product,gid://shopify/Product/8053031436598,HEALTH CONNECTION WHOLEFOODS - Organic Cacao Powder - 200g,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
C,product,gid://shopify/Product/8053033238838,HEALTH CONNECTION WHOLEFOODS - Woody Cape Chicory 200g - 60 Bags,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
C,product,gid://shopify/Product/8053033337142,HEALTH CONNECTION WHOLEFOODS - Woody Cape Chicory 65G - 20 Bags,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
C,product,gid://shopify/Product/8447176573238,A.VOGEL - Bambu - 100g,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
C,product,gid://shopify/Product/8447179325750,A.VOGEL - Bambu - 200g,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
C,product,gid://shopify/Product/8450201452854,CHINAHERB - Isatis Root,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
C,product,gid://shopify/Product/8460059869494,BUTTANUT - Almond Milk - 350ml,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
C,product,gid://shopify/Product/8462795866422,BUTTANUT - Almond Milk - 1 litre,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
C,product,gid://shopify/Product/8462796423478,BUTTANUT - Oat Milk - 350ml,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
C,product,gid://shopify/Product/8462798946614,BUTTANUT - Oat Milk - 1 litre,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
C,product,gid://shopify/Product/8462802682166,BUTTANUT - Cocoa Milk - 1 litre,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
C,product,gid://shopify/Product/8462805401910,BUTTANUT - Vanilla Almond Milk - 350ml,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
C,product,gid://shopify/Product/8462807728438,BUTTANUT - Macadamia Milk - 1 litre,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
C,product,gid://shopify/Product/8462808645942,BUTTANUT - Macadamia Milk - 350ml,"atomic swap: tagsRemove Food> Beverages + tagsAdd Food>Beverages (serial, same request)"
